0:1166289739700066,1166289740744232;1166289929792008,1166289932856747;1166289932939201,1166289937372586
1:1166289937536652,1166289938580141;1166289941688702,1166289944733024;1166289944819364,1166289949252853
2:1166289949400844,1166289950445323;1166289953549624,1166289956592436;1166289956683215,1166289961113006
3:1166289961268856,1166289962312970;1166289965417315,1166289968463669;1166289968557322,1166289972987894
0:1166289973110771,1166289974154208;1166289977259305,1166289980316805;1166289980393459,1166289984829552
1:1166289984916151,1166289985960005;1166289989066216,1166289992112413;1166289992198030,1166289996632873
2:1166289996719816,1166289997763253;1166290000869043,1166290003912688;1166290004002628,1166290008432992
3:1166290008524185,1166290009567882;1166290012671488,1166290015716383;1166290015808407,1166290020242938
0:1166290020329761,1166290021373198;1166290024477464,1166290027523557;1166290027600452,1166290032028212
1:1166290032140608,1166290033183941;1166290036288949,1166290039334365;1166290039419967,1166290043851112
2:1166290043960276,1166290045004078;1166290048107064,1166290051154824;1166290051245730,1166290055681146
3:1166290055785202,1166290056828483;1166290059933744,1166290062976608;1166290063069443,1166290067505224
