0:1253786507572964,1253786508097599;1253786835766826,1253786837309638;1253786837469692,1253786908445629
1:1253786908543339,1253786909067714;1253787016100621,1253787017640881;1253787017793041,1253787088768874
2:1253787088864808,1253787089395589;1253787196606901,1253787198150234;1253787198309549,1253787269281267
3:1253787269377265,1253787269901640;1253787376903813,1253787378446938;1253787378606481,1253787449579918
4:1253787449679751,1253787450204178;1253787557206038,1253787558746090;1253787558905173,1253787629879704
5:1253787629974944,1253787630505829;1253787737758365,1253787739299562;1253787739463193,1253787810447620
6:1253787810556630,1253787811080432;1253787918078351,1253787919620278;1253787919779982,1253787990753367
7:1253787990846504,1253787991370358;1253788098354122,1253788099897090;1253788100049252,1253788170995033
0:1253788208594254,1253788209127326;1253788316064027,1253788317604235;1253788317766474,1253788388739026
1:1253788388853194,1253788389377152;1253788496564059,1253788498108902;1253788498286877,1253788569264324
2:1253788569359362,1253788569883372;1253788677050179,1253788678592366;1253788678750168,1253788749724803
3:1253788749817396,1253788750349166;1253788857577811,1253788859118956;1253788859280833,1253788930260624
4:1253788930360449,1253788930884980;1253789037756188,1253789039298896;1253789039459444,1253789110434652
5:1253789110543609,1253789111068192;1253789218109701,1253789219651367;1253789219810577,1253789290787191
6:1253789290901755,1253789291425817;1253789398406282,1253789399948938;1253789400108016,1253789471051036
7:1253789471148662,1253789471672307;1253789578570041,1253789580111030;1253789580262209,1253789651221427
0:1253789686356960,1253789686881230;1253789793772848,1253789795314618;1253789795485789,1253789866459226
1:1253789866566473,1253789867090795;1253789974152864,1253789975694114;1253789975846664,1253790046823018
2:1253790046922426,1253790047446540;1253790154411139,1253790155953795;1253790156110602,1253790227089091
3:1253790227179596,1253790227703450;1253790334963210,1253790336506022;1253790336666683,1253790407628037
4:1253790407728915,1253790408253081;1253790515382695,1253790516924726;1253790517083976,1253790588059184
5:1253790588176072,1253790588700082;1253790695626012,1253790697167730;1253790697327739,1253790768288468
6:1253790768388008,1253790768912226;1253790875847202,1253790877389285;1253790877551204,1253790948516620
7:1253790948608660,1253790949132514;1253791055946024,1253791057488836;1253791057640734,1253791128603859
