0:736684924621607,736684925520901;736684925553507,736684976138758;736684976182072,736684979897692
1:736684924658096,736684925524726;736684925536849,736684970387803;736684970423768,736684974436829
2:736684924676506,736684925963450;736684925967643,736684988308931;736684988383547,736684991958488
3:736684924676503,736684925584849;736684925596837,736684990102045;736684990109413,736684992827440
4:736684924683454,736684925723343;736684925729541,736684990125087;736684990132775,736684992694384
5:736684924687262,736684925722229;736684925729580,736684969935059;736684969980096,736684973666436
6:736684924740876,736684925666899;736684925679124,736684983771176;736684983808110,736684987195982
7:736684924745364,736684925690477;736684925698172,736684990120639;736684990131576,736684993252518
8:736684924739556,736684925677361;736684925684532,736684990407795;736684990422204,736684993670792
9:736684924745362,736684925647104;736684925661066,736684991546722;736684991571113,736684993975479
10:736684924747550,736684925684227;736684925688246,736684990030797;736684990039360,736684992630977
11:736684924748225,736684925365793;736684925378906,736684988308933;736684988329846,736684991890557
12:736684924764046,736684925681348;736684925686484,736684989808205;736684989826331,736684993199529
13:736684924780168,736684925699518;736684925706250,736684993103105;736684993108085,736684994499244
14:736684924804753,736684925591607;736684925602932,736684993106258;736684993112923,736684994462727
15:736684924812343,736684925504841;736684925515925,736684989309920;736684989331467,736684991778331
