0:1155699389934023,1155699390198293;1155699674803143,1155699675590278;1155699675699651,1155699711188869
1:1155699711280924,1155699711544934;1155699769303361,1155699770090392;1155699770219745,1155699805711932
2:1155699805802865,1155699806066719;1155699863897214,1155699864685234;1155699864823041,1155699900307416
3:1155699900404576,1155699900669055;1155699958522911,1155699959310098;1155699959438907,1155699994929532
4:1155699995023234,1155699995287088;1155700053236118,1155700054022576;1155700054148116,1155700089627855
5:1155700089723627,1155700089987949;1155700147198116,1155700147983584;1155700148117050,1155700183613091
6:1155700183711094,1155700183975104;1155700241918971,1155700242706783;1155700242833266,1155700278323682
7:1155700278423094,1155700278686948;1155700336627855,1155700337414261;1155700337541095,1155700373030470
8:1155700373130965,1155700373395027;1155700431537073,1155700432322906;1155700432456642,1155700467944089
9:1155700468043812,1155700468308239;1155700526235614,1155700527021707;1155700527152532,1155700562634459
10:1155700562730590,1155700562994496;1155700620919125,1155700621708916;1155700621837769,1155700657322977
11:1155700657423285,1155700657687451;1155700715595005,1155700716381046;1155700716511437,1155700752007947
12:1155700752096744,1155700752360858;1155700810260168,1155700811047563;1155700811182413,1155700846674340
13:1155700846762778,1155700847027413;1155700904936450,1155700905723897;1155700905865361,1155700941351506
14:1155700941466953,1155700941732265;1155701000058204,1155701000846849;1155701000977661,1155701036439744
15:1155701036548964,1155701036814328;1155701093993236,1155701094780371;1155701094853620,1155701130342265
0:1155701168474130,1155701168738973;1155701225064661,1155701225851379;1155701225992565,1155701261476835
1:1155701261557996,1155701261822891;1155701319743058,1155701320530558;1155701320659329,1155701356152349
2:1155701356245802,1155701356510333;1155701414519001,1155701415305355;1155701415441452,1155701450923431
3:1155701451026203,1155701451290213;1155701509166651,1155701509952171;1155701510082129,1155701545558795
4:1155701545657057,1155701545921171;1155701604084607,1155701604877054;1155701605008237,1155701640496257
5:1155701640592724,1155701640857151;1155701698413184,1155701699200059;1155701699331060,1155701734827049
6:1155701734921221,1155701735185596;1155701792835960,1155701793621168;1155701793747395,1155701829244530
7:1155701829334661,1155701829598775;1155701887359242,1155701888146429;1155701888274788,1155701923766038
8:1155701923856062,1155701924120072;1155701981940978,1155701982730248;1155701982869043,1155702018347428
9:1155702018445219,1155702018710323;1155702076768651,1155702077555213;1155702077686438,1155702113174563
10:1155702113270955,1155702113535694;1155702171226872,1155702172015934;1155702172145588,1155702207641890
11:1155702207733961,1155702207999065;1155702265818825,1155702266604762;1155702266685526,1155702302179276
12:1155702302285223,1155702302550118;1155702360234989,1155702361020509;1155702361153384,1155702396637654
13:1155702396741527,1155702397006683;1155702454831255,1155702455617244;1155702455769690,1155702491248648
14:1155702491345769,1155702491610352;1155702548958810,1155702549745945;1155702549875370,1155702585338182
15:1155702585447680,1155702585712367;1155702641086016,1155702641873203;1155702641944102,1155702677433268
0:1155702713804524,1155702714068378;1155702771083689,1155702771871553;1155702771991524,1155702807475169
1:1155702807568594,1155702807833646;1155702865750478,1155702866537509;1155702866667071,1155702902163268
2:1155702902254728,1155702902518738;1155702960474070,1155702961261361;1155702961393962,1155702996875472
3:1155702996977045,1155702997241420;1155703055257181,1155703056045358;1155703056177599,1155703091651609
4:1155703091753517,1155703092017475;1155703150253024,1155703151041201;1155703151169496,1155703186636631
5:1155703186742468,1155703187007051;1155703245135964,1155703245926328;1155703246061025,1155703281542900
6:1155703281648139,1155703281912097;1155703339859530,1155703340646457;1155703340774187,1155703376256947
7:1155703376357036,1155703376620994;1155703434450611,1155703435237642;1155703435365000,1155703470856979
8:1155703470969768,1155703471234351;1155703529218047,1155703530005494;1155703530139075,1155703565633085
9:1155703565720336,1155703565984450;1155703623510969,1155703624298156;1155703624425406,1155703659916760
10:1155703660020478,1155703660284488;1155703718190160,1155703718987087;1155703719114914,1155703754596684
11:1155703754705174,1155703754969913;1155703813077824,1155703813865219;1155703814003439,1155703849497032
12:1155703849591511,1155703849855886;1155703907560562,1155703908348739;1155703908483235,1155703943970422
13:1155703944066518,1155703944331101;1155704001936669,1155704002725835;1155704002800666,1155704038292801
14:1155704038384454,1155704038648776;1155704096476344,1155704097265979;1155704097394610,1155704132880703
15:1155704132978475,1155704133242693;1155704188196524,1155704188984701;1155704189058153,1155704224550653
