0:763626505221447,763626505578061;763626695896126,763626696935240;763626719882082,763626721362394
1:763626505581796,763626505935962;763626697977646,763626699016760;763626721365109,763626722844223
2:763626505940066,763626506294909;763626700059477,763626701098904;763626722846786,763626724323817
3:763626506298655,763626506652873;763626702139841,763626703177549;763626724328761,763626725807563
4:763626506657020,763626507011759;763626704219928,763626705258730;763626725810748,763626727289498
5:763626507015714,763626507369776;763626706299057,763626707336452;763626727292681,763626728771222
6:763626507373968,763626507728290;763626708381619,763626709420577;763626728774370,763626730252234
7:763626507737425,763626508091643;763626710466613,763626711505258;763626730256224,763626731735182
8:763626508095644,763626508449081;763626712546925,763626713586664;763626731738148,763626733217887
9:763626508453127,763626508808543;763626714631452,763626715669160;763626733220150,763626734698847
10:763626508812411,763626509166265;763626716711729,763626717748812;763626734702039,763626736181257
11:763626509170070,763626509524392;763626718788799,763626719827653;763626736183932,763626737663254
0:763626742623887,763626742973991;763626748074551,763626749114082;763626772044541,763626773523707
1:763626742975274,763626743324961;763626750155274,763626751195690;763626773527181,763626775005983
2:763626743325853,763626743675175;763626752238013,763626753276138;763626775009083,763626776487833
3:763626743676305,763626744025523;763626754317018,763626755355038;763626776490921,763626777974358
4:763626744026409,763626744375523;763626756396926,763626757435884;763626777977321,763626779456227
5:763626744376640,763626744726275;763626758477626,763626759515490;763626779459140,763626780937681
6:763626744727170,763626745076232;763626760557848,763626761596129;763626780940902,763626782419704
7:763626745077303,763626745426625;763626762637653,763626763675882;763626782422854,763626783902541
8:763626745427807,763626745777234;763626764717424,763626765756330;763626783904946,763626785383435
9:763626745778321,763626746127591;763626766798422,763626767836703;763626785386901,763626786865963
10:763626746128696,763626746477810;763626768877910,763626769915201;763626786869037,763626788352370
11:763626746478804,763626746827710;763626770950549,763626771988986;763626788355018,763626789834393
0:763626794937182,763626795287859;763626800395011,763626801432667;763626824374452,763626825853358
1:763626795288726,763626795638205;763626802477583,763626803515551;763626825857234,763626827340567
2:763626795638855,763626795988334;763626804557649,763626805595357;763626827343549,763626828822976
3:763626795989240,763626796338615;763626806636123,763626807674560;763626828825481,763626830304387
4:763626796339683,763626796688745;763626808718049,763626809757528;763626830307305,763626831786627
5:763626796689925,763626797039560;763626810797925,763626811835841;763626831789773,763626833269043
6:763626797040624,763626797396717;763626812877840,763626813915600;763626833271720,763626834750417
7:763626797397862,763626797747601;763626814958059,763626815995559;763626834753711,763626836232044
8:763626797748532,763626798097802;763626817036681,763626818074858;763626836235971,763626837721335
9:763626798098960,763626798448335;763626819118349,763626820156213;763626837723771,763626839202312
10:763626798449471,763626798798429;763626821208482,763626822246711;763626839205811,763626840685133
11:763626798799509,763626799148623;763626823280582,763626824318863;763626840687744,763626842166337
