0:727472872348923,727472872699443;727473062857451,727473063897138;727473086828703,727473088308755
1:727472872700401,727472873049515;727473064937146,727473065975531;727473088311477,727473089790956
2:727472873050222,727472873399388;727473067015780,727473068054217;727473089793461,727473091271533
3:727472873400531,727472873749801;727473069094136,727473070132104;727473091275448,727473092754041
4:727472873750682,727472874099796;727473071173524,727473072210971;727473092757400,727473094235472
5:727472874100820,727472874449934;727473073252027,727473074289683;727473094239185,727473095718195
6:727472874450861,727472874800131;727473075338286,727473076375317;727473095721017,727473097200339
7:727472874800875,727472875150510;727473077422102,727473078459237;727473097203041,727473098682311
8:727472875151485,727472875501016;727473079499790,727473080538592;727473098684914,727473100163924
9:727472875502159,727472875851690;727473081578040,727473082615435;727473100166904,727473101645341
10:727472875852817,727472876201775;727473083655534,727473084694179;727473101649012,727473103126095
11:727472876202751,727472876551865;727473085736011,727473086772886;727473103130712,727473104609357
