0:727471875824282,727471876350844;727472066825400,727472068359983;727472089939859,727472092158765
1:727471876353015,727471876877077;727472069897809,727472071433746;727472092161995,727472094378401
2:727471876878955,727471877402913;727472072969435,727472074503549;727472094382660,727472096601305
3:727471877408122,727471877932340;727472076042560,727472077577299;727472096603647,727472098820990
4:727471877931147,727471878455574;727472079113043,727472080647886;727472098824467,727472101042696
5:727471878457547,727471878982130;727472082184374,727472083718592;727472101045425,727472103263602
6:727471878984135,727471879508562;727472085256609,727472086790202;727472103266646,727472105483312
7:727471879510654,727471880034716;727472088327554,727472089863231;727472105487477,727472107709039
