0:763624315348377,763624316391970;763624509664352,763624512708727;763624531130216,763624535565684
1:763624316393315,763624317435085;763624515762812,763624518806041;763624535570501,763624539999198
2:763624317435953,763624318477775;763624521858170,763624524901138;763624540009625,763624544440562
3:763624318478866,763624319520949;763624527974649,763624531038503;763624544448609,763624548879181
0:763624553040296,763624554083993;763624560460274,763624563505326;763624581921175,763624586349612
1:763624554085414,763624555127445;763624566558958,763624569602812;763624586361030,763624590797280
2:763624555128264,763624556170711;763624572663043,763624575708824;763624590800427,763624595237979
3:763624556171888,763624557213658;763624578786666,763624581829686;763624595243346,763624599673398
0:763624604056979,763624605100781;763624611475842,763624614523810;763624632917075,763624637344106
1:763624605101746,763624606143985;763624617580812,763624620624145;763624637357537,763624641788526
2:763624606145195,763624607187174;763624623677321,763624626724143;763624641802328,763624646244463
3:763624607188229,763624608230312;763624629782874,763624632831103;763624646247389,763624650678691
