0:1155692361874573,1155692362227125;1155692659792993,1155692660839190;1155692660979199,1155692708298521
1:1155692708393986,1155692708744923;1155692783850001,1155692784895678;1155692785038611,1155692832334548
2:1155692832384662,1155692832735391;1155692907927702,1155692908973587;1155692909126335,1155692956423210
3:1155692956523304,1155692956874397;1155693031999884,1155693033045352;1155693033191824,1155693080499949
4:1155693080600952,1155693080958504;1155693155244497,1155693156290122;1155693156428632,1155693203741340
5:1155693203840662,1155693204191339;1155693279093562,1155693280139916;1155693280292145,1155693327584645
6:1155693327690892,1155693328041777;1155693403151981,1155693404198647;1155693404340999,1155693451634488
7:1155693451738346,1155693452089648;1155693527044774,1155693528089669;1155693528229483,1155693575558649
8:1155693575648458,1155693575999655;1155693650674036,1155693651719921;1155693651862260,1155693699174499
9:1155693699273998,1155693699625352;1155693774379247,1155693775424663;1155693775564694,1155693822881621
10:1155693822980710,1155693823331335;1155693898247519,1155693899293039;1155693899445076,1155693946741586
11:1155693946842631,1155693947193360;1155694020859658,1155694021904970;1155694021994050,1155694069308164
0:1155694105443623,1155694105794873;1155694180353476,1155694181400038;1155694181541033,1155694228861033
1:1155694228959155,1155694229309780;1155694304239733,1155694305285045;1155694305429137,1155694352732470
2:1155694352844045,1155694353195190;1155694427354498,1155694428400487;1155694428555715,1155694475868006
3:1155694475962379,1155694476322379;1155694551043974,1155694552090171;1155694552231303,1155694599546563
4:1155694599637237,1155694599987809;1155694674482876,1155694675528344;1155694675667539,1155694722983111
5:1155694723080001,1155694723430990;1155694798144906,1155694799190843;1155694799287818,1155694846605109
6:1155694846704508,1155694847055810;1155694921885612,1155694922931184;1155694923073848,1155694970371243
7:1155694970470114,1155694970820843;1155695045809053,1155695046854053;1155695046993364,1155695094305811
8:1155695094355242,1155695094706335;1155695168964027,1155695170010745;1155695170151904,1155695217469976
9:1155695217569554,1155695217920335;1155695292876791,1155695293923613;1155695294067976,1155695341366413
10:1155695341462991,1155695341814293;1155695416853063,1155695417898427;1155695418049210,1155695465348012
11:1155695465444577,1155695465795306;1155695539427494,1155695540471869;1155695540561240,1155695587879729
0:1155695624765320,1155695625115892;1155695699232313,1155695700277417;1155695700420472,1155695747730940
1:1155695747832809,1155695748183902;1155695822799613,1155695823845029;1155695823989000,1155695871284104
2:1155695871386275,1155695871737472;1155695946676440,1155695947724096;1155695947876492,1155695995193419
3:1155695995290380,1155695995641369;1155696070339317,1155696071384056;1155696071531129,1155696118839618
4:1155696118951252,1155696119302293;1155696193861737,1155696194908247;1155696195045561,1155696242370144
5:1155696242461056,1155696242812201;1155696317682416,1155696318727936;1155696318876652,1155696366184568
6:1155696366283774,1155696366635076;1155696441741376,1155696442786323;1155696442931684,1155696490225225
7:1155696490327875,1155696490678916;1155696565809307,1155696566855400;1155696566994985,1155696614293005
8:1155696614391534,1155696614742471;1155696689958129,1155696691003337;1155696691148801,1155696738466926
9:1155696738516963,1155696738867535;1155696813670767,1155696814716704;1155696814855949,1155696862159907
10:1155696862258966,1155696862609903;1155696937099073,1155696938143812;1155696938297614,1155696985619489
11:1155696985712026,1155696986063119;1155697058046179,1155697059090762;1155697059176516,1155697106495161
