0:1253810192020469,1253810192284427;1253810575770755,1253810576568255;1253810576701868,1253810612188899
1:1253810612279339,1253810612543766;1253810670454148,1253810671242585;1253810671370239,1253810706850811
2:1253810706950413,1253810707214319;1253810764901934,1253810765691152;1253810765824711,1253810801316638
3:1253810801409079,1253810801672985;1253810859169569,1253810859960194;1253810860093625,1253810895581906
4:1253810895674099,1253810895938005;1253810954068867,1253810954859231;1253810955013249,1253810990497728
5:1253810990599458,1253810990864197;1253811048862344,1253811049652448;1253811049783049,1253811085273101
6:1253811085371037,1253811085643016;1253811143260429,1253811144050429;1253811144124146,1253811179612166
7:1253811179711577,1253811179976264;1253811238096182,1253811238886702;1253811239013345,1253811274501730
8:1253811274600914,1253811274865028;1253811333019231,1253811333807043;1253811333944115,1253811369433698
9:1253811369529082,1253811369792936;1253811427939998,1253811428728539;1253811428860194,1253811464349569
10:1253811464440621,1253811464704683;1253811522705091,1253811523494726;1253811523623083,1253811559115530
11:1253811559209755,1253811559474182;1253811617512245,1253811618300890;1253811618432542,1253811653924677
12:1253811654015126,1253811654279344;1253811712424082,1253811713213821;1253811713347889,1253811748827055
13:1253811748922725,1253811749186891;1253811806574539,1253811807363341;1253811807514035,1253811843000024
14:1253811843116090,1253811843380308;1253811901610081,1253811902400549;1253811902528314,1253811938001803
15:1253811938109652,1253811938374287;1253811995317335,1253811996107543;1253811996182405,1253812031676311
0:1253812068453243,1253812068717253;1253812126214846,1253812127004377;1253812127139491,1253812162626261
1:1253812162719209,1253812162983531;1253812220630502,1253812221420345;1253812221551169,1253812257039085
2:1253812257134010,1253812257398332;1253812315315302,1253812316104468;1253812316242461,1253812351726002
3:1253812351824211,1253812352088325;1253812410298123,1253812411087029;1253812411234311,1253812446719415
4:1253812446802686,1253812447067061;1253812504932920,1253812505722607;1253812505855006,1253812541333391
5:1253812541430061,1253812541694436;1253812599557707,1253812600346404;1253812600477650,1253812635967597
6:1253812636064853,1253812636329332;1253812693901095,1253812694690522;1253812694817496,1253812730302131
7:1253812730402606,1253812730666512;1253812787744675,1253812788533008;1253812788607441,1253812824093274
8:1253812824189980,1253812824454407;1253812882335470,1253812883124167;1253812883264128,1253812918750378
9:1253812918845196,1253812919109362;1253812976969599,1253812977758609;1253812977889055,1253813013379419
10:1253813013474590,1253813013739069;1253813071563089,1253813072354495;1253813072482016,1253813107977745
11:1253813108074400,1253813108339035;1253813165922660,1253813166711670;1253813166847384,1253813202341759
12:1253813202451832,1253813202716050;1253813260754935,1253813261552070;1253813261686966,1253813297177122
13:1253813297272537,1253813297537224;1253813355578484,1253813356368015;1253813356501073,1253813391981281
14:1253813392077295,1253813392341774;1253813450409292,1253813451210594;1253813451342445,1253813486828642
15:1253813486920509,1253813487185040;1253813544326279,1253813545115133;1253813545194501,1253813580687834
0:1253813617053861,1253813617317975;1253813674811782,1253813675601261;1253813675739214,1253813711224422
1:1253813711322340,1253813711586402;1253813769415420,1253813770206722;1253813770335253,1253813805814471
2:1253813805917321,1253813806181696;1253813864320266,1253813865109484;1253813865245712,1253813900717587
3:1253813900817546,1253813901081712;1253813959179080,1253813959967257;1253813960098711,1253813995592669
4:1253813995681705,1253813995945923;1253814054124070,1253814054912820;1253814055048852,1253814090541299
5:1253814090633244,1253814090897723;1253814149077147,1253814149866782;1253814149996308,1253814185474433
6:1253814185576893,1253814185840903;1253814244365070,1253814245155382;1253814245285965,1253814280748725
7:1253814280855933,1253814281120203;1253814339417312,1253814340207103;1253814340337307,1253814375811577
8:1253814375910043,1253814376174157;1253814434567043,1253814435356626;1253814435498403,1253814470970278
9:1253814471069245,1253814471333672;1253814529408925,1253814530197622;1253814530331034,1253814565820565
10:1253814565934679,1253814566198845;1253814624204945,1253814624995101;1253814625127366,1253814660610699
11:1253814660716288,1253814660980454;1253814718961796,1253814719752004;1253814719882981,1253814755372043
12:1253814755468660,1253814755733451;1253814813631878,1253814814420628;1253814814555452,1253814850028316
13:1253814850132616,1253814850396886;1253814908445151,1253814909234578;1253814909315654,1253814944806174
14:1253814944899669,1253814945163939;1253815003170172,1253815003958505;1253815004089060,1253815039576976
15:1253815039674695,1253815039939122;1253815096938559,1253815097727204;1253815097801817,1253815133293744
