0:1255260827607510,1255260829037517;1255260829069350,1255263398209132;1255263398216373,1255263448553230
1:1255260827624948,1255260829127313;1255260829133512,1255262679110201;1255262679173211,1255262888606602
2:1255260827634353,1255260829140185;1255260829151185,1255263437524345;1255263437543987,1255263492126861
3:1255260827645016,1255260829129908;1255260829149387,1255263428038499;1255263428053839,1255263487748469
4:1255260827779953,1255260829033079;1255260829048468,1255262508830116;1255262508876567,1255262689553967
5:1255260827698912,1255260829092350;1255260829102694,1255263397773630;1255263397783256,1255263448276413
6:1255260827776981,1255260829221837;1255260829238018,1255263146352013;1255263146394176,1255263322258838
7:1255260827689678,1255260829126701;1255260829140887,1255263146341000;1255263146394501,1255263329640811
8:1255260827776044,1255260829259642;1255260829265942,1255262721321860;1255262721381694,1255262928600628
9:1255260827782021,1255260829244107;1255260829254337,1255263112467518;1255263112519769,1255263289980041
10:1255260827705746,1255260828428304;1255260828431194,1255263169748825;1255263169812790,1255263322666511
11:1255260827776051,1255260829221723;1255260829237414,1255263267752304;1255263267817179,1255263358206259
0:1255263492362797,1255263492515717;1255263492523594,1255264280602415;1255264280681428,1255264477115157
1:1255263492421022,1255263492574805;1255263492578701,1255264574460044;1255264574507540,1255264764261437
2:1255263492453968,1255263492685177;1255263492692133,1255266106495596;1255266106608889,1255266193555306
3:1255263492510387,1255263493010273;1255263493025165,1255266147522682;1255266147538716,1255266215470523
4:1255263492528865,1255263492989706;1255263492998280,1255266067265709;1255266067293138,1255266143683737
5:1255263492565835,1255263493136067;1255263493188270,1255265816750482;1255265816794950,1255266001103573
6:1255263793180581,1255263794000982;1255263794020905,1255266082827852;1255266082856530,1255266158943137
7:1255263867267926,1255263867873924;1255263868011517,1255266005771264;1255266005797963,1255266093309000
8:1255263823105780,1255263823766934;1255263823907297,1255266115703749;1255266115732293,1255266203632965
9:1255263492940763,1255263493430392;1255263493440109,1255265901638916;1255265901680376,1255266063513177
10:1255263823105627,1255263823806838;1255263823906135,1255266147569790;1255266147581606,1255266215448473
11:1255263793231986,1255263793942680;1255263794076683,1255266164959155;1255266164976558,1255266228170967
0:1255266228322615,1255266228443944;1255266228445474,1255266988855297;1255266988924986,1255267176878948
1:1255266228373848,1255266228566485;1255266228578647,1255267777626874;1255267777680864,1255267958025272
2:1255266228412672,1255266228704209;1255266228724979,1255268889436060;1255268889509337,1255268950423808
3:1255266228453180,1255266228857548;1255266228888373,1255268451610426;1255268451649800,1255268658828114
4:1255266228532490,1255266229187138;1255266229196986,1255268971762421;1255268971783934,1255269003641242
5:1255266228566207,1255266229204295;1255266229227482,1255268331003852;1255268331049942,1255268530166318
6:1255266228598024,1255266229250989;1255266229262894,1255268478867222;1255268478929013,1255268665987473
7:1255266228629754,1255266229314950;1255266229326210,1255268917343706;1255268917352597,1255268966204057
8:1255266228674728,1255266229380338;1255266229396001,1255268886562277;1255268886576591,1255268949608642
9:1255266551386520,1255266551941270;1255266552076918,1255268751872522;1255268751917717,1255268880818334
10:1255266228847928,1255266229489183;1255266229497044,1255268682748850;1255268682803315,1255268850133825
11:1255266517803436,1255266518413163;1255266518450384,1255268747463601;1255268747508819,1255268859933146
