0:1166291846213819,1166291846567152;1166292034193871,1166292035232777;1166292035291000,1166292036780166
1:1166292036881115,1166292037236583;1166292038305183,1166292039342266;1166292039392616,1166292040872511
2:1166292040975427,1166292041325999;1166292042389990,1166292043428948;1166292043479076,1166292044958503
3:1166292045054954,1166292045405787;1166292046470336,1166292047508461;1166292047559732,1166292049039784
4:1166292049122914,1166292049473851;1166292050538857,1166292051576252;1166292051630933,1166292053110828
5:1166292053215408,1166292053566397;1166292054629490,1166292055667979;1166292055719396,1166292057198666
6:1166292057302296,1166292057653493;1166292058716972,1166292059755253;1166292059809270,1166292061289165
7:1166292061391185,1166292061742122;1166292062807512,1166292063844543;1166292063896795,1166292065376378
8:1166292065475074,1166292065825751;1166292066889361,1166292067927433;1166292067980741,1166292069460688
9:1166292069562246,1166292069913079;1166292070977265,1166292072015910;1166292072066704,1166292073546287
10:1166292073649334,1166292074001052;1166292075064687,1166292076103645;1166292076156421,1166292077636525
11:1166292077737947,1166292078089561;1166292079156486,1166292080194506;1166292080247061,1166292081726123
0:1166292081796489,1166292082147478;1166292083210938,1166292084248542;1166292084300322,1166292085780426
1:1166292085820615,1166292086171604;1166292087235561,1166292088274050;1166292088325250,1166292089805770
2:1166292089853738,1166292090204519;1166292091268624,1166292092306853;1166292092357227,1166292093837279
3:1166292093875765,1166292094227535;1166292095290952,1166292096330379;1166292096382104,1166292097862260
4:1166292097901405,1166292098252707;1166292099315633,1166292100354070;1166292100409215,1166292101889215
5:1166292101975734,1166292102326463;1166292103390071,1166292104428404;1166292104479902,1166292105960110
6:1166292106046710,1166292106397282;1166292107462230,1166292108499469;1166292108552202,1166292110030952
7:1166292110146474,1166292110497463;1166292111561496,1166292112599725;1166292112651427,1166292114131374
8:1166292114217817,1166292114568598;1166292115632575,1166292116671220;1166292116725020,1166292118203978
9:1166292118290729,1166292118641770;1166292119705609,1166292120744567;1166292120795046,1166292122275723
10:1166292122360294,1166292122711335;1166292123775409,1166292124814002;1166292124867030,1166292126347134
11:1166292126430996,1166292126782506;1166292127846598,1166292128885139;1166292128938018,1166292130417393
0:1166292130520228,1166292130870905;1166292131933041,1166292132972572;1166292133024482,1166292134504325
1:1166292134607106,1166292134958251;1166292136022370,1166292137059557;1166292137110467,1166292138590779
2:1166292138693859,1166292139044900;1166292140109155,1166292141147384;1166292141197543,1166292142676293
3:1166292142782916,1166292143134166;1166292144197528,1166292145235548;1166292145287358,1166292146767566
4:1166292146872388,1166292147223429;1166292148287764,1166292149326409;1166292149381407,1166292150861511
5:1166292150968296,1166292151319650;1166292152383497,1166292153426309;1166292153478403,1166292154957934
6:1166292155064585,1166292155415210;1166292156477922,1166292157517609;1166292157570635,1166292159054645
7:1166292159180441,1166292159531170;1166292160594613,1166292161632633;1166292161684562,1166292163164197
8:1166292163269207,1166292163619936;1166292164683188,1166292165721833;1166292165775073,1166292167254916
9:1166292167360687,1166292167711259;1166292168775114,1166292169813655;1166292169864178,1166292171344334
10:1166292171451208,1166292171801885;1166292172866258,1166292173905164;1166292173958559,1166292175437881
11:1166292175541356,1166292175892553;1166292176955873,1166292177994935;1166292178048271,1166292179532125
