0:1253798184057152,1253798184408141;1253798580697952,1253798581744931;1253798581884410,1253798629195295
1:1253798629297123,1253798629648633;1253798704665557,1253798705713577;1253798705860020,1253798753180436
2:1253798753281104,1253798753632093;1253798828501599,1253798829548213;1253798829685407,1253798876984990
3:1253798877092152,1253798877442777;1253798952645807,1253798953694296;1253798953852134,1253799001171509
4:1253799001267036,1253799001617973;1253799076110003,1253799077156878;1253799077302801,1253799124618582
5:1253799124717856,1253799125068533;1253799199941656,1253799200987541;1253799201132627,1253799248454137
6:1253799248550442,1253799248908619;1253799323820245,1253799324867015;1253799325016561,1253799372320883
7:1253799372421534,1253799372772575;1253799447908657,1253799448955532;1253799449108509,1253799496402154
8:1253799496503977,1253799496854758;1253799572139955,1253799573186413;1253799573328421,1253799620639202
9:1253799620744725,1253799621096131;1253799696183637,1253799697231397;1253799697374440,1253799744696002
10:1253799744793235,1253799745144224;1253799819959752,1253799821008085;1253799821144354,1253799868459458
11:1253799868556555,1253799868907544;1253799942300512,1253799943348064;1253799943429882,1253799990752069
0:1253800025942509,1253800026293186;1253800100994287,1253800102040276;1253800102173029,1253800149500893
1:1253800149570873,1253800149921654;1253800224701054,1253800225749074;1253800225840339,1253800273159714
2:1253800273272009,1253800273622894;1253800348583502,1253800349629960;1253800349768440,1253800397088387
3:1253800397187931,1253800397539389;1253800472083712,1253800473129962;1253800473281141,1253800520592859
4:1253800520678584,1253800521029261;1253800596080850,1253800597128193;1253800597275311,1253800644591456
5:1253800644690748,1253800645041789;1253800719882946,1253800720932268;1253800721074309,1253800768376756
6:1253800768488668,1253800768839657;1253800843956342,1253800845002383;1253800845153911,1253800892452556
7:1253800892551788,1253800892902465;1253800967942311,1253800968990644;1253800969087109,1253801016404973
8:1253801016497099,1253801016848036;1253801091742830,1253801092790382;1253801092933518,1253801140257059
9:1253801140350891,1253801140701932;1253801215535424,1253801216580996;1253801216722013,1253801264041127
10:1253801264140289,1253801264491434;1253801339458566,1253801340506222;1253801340645224,1253801387943765
11:1253801388040780,1253801388392134;1253801462198647,1253801463245938;1253801463326820,1253801510643486
0:1253801547148284,1253801547499013;1253801622208790,1253801623256394;1253801623397437,1253801670710093
1:1253801670806058,1253801671156735;1253801745989879,1253801747036389;1253801747179093,1253801794490343
2:1253801794593220,1253801794944678;1253801870148753,1253801871197138;1253801871344741,1253801918641563
3:1253801918723524,1253801919074357;1253801994278926,1253801995326478;1253801995466068,1253802042760755
4:1253802042881630,1253802043232567;1253802118407233,1253802119454160;1253802119599740,1253802166908229
5:1253802167010515,1253802167361504;1253802242129487,1253802243176205;1253802243317432,1253802290639202
6:1253802290738420,1253802291089513;1253802366039703,1253802367086213;1253802367239329,1253802414532870
7:1253802414635938,1253802414986979;1253802490044031,1253802491091374;1253802491242060,1253802538560132
8:1253802538656601,1253802539007851;1253802613805249,1253802614852228;1253802614994034,1253802662305336
9:1253802662398051,1253802662756176;1253802737583829,1253802738631433;1253802738768877,1253802786080335
10:1253802786177800,1253802786529050;1253802861066824,1253802862112396;1253802862253493,1253802909561149
11:1253802909659740,1253802910010937;1253802983186312,1253802984233551;1253802984314520,1253803031621030
