0:741721328664585,741721329020210;741721518858124,741721519896353;741721519953427,741721521433531
1:741721521436230,741721521785500;741721522847078,741721523884838;741721523936273,741721525415804
2:741721525418171,741721525767077;741721526829961,741721527868658;741721527918672,741721529398619
3:741721529400668,741721529749626;741721530812989,741721531850332;741721531904854,741721533383812
4:741721533387005,741721533736536;741721534800660,741721535839566;741721535891383,741721537370185
5:741721537373564,741721537722886;741721538785381,741721539823610;741721539876501,741721541359938
6:741721541362550,741721541712445;741721542775643,741721543813820;741721543862899,741721545341961
7:741721545344964,741721545694339;741721546756717,741721547795467;741721547847741,741721549327168
8:741721549329745,741721549678755;741721550740612,741721551779674;741721551831524,741721553311003
9:741721553313676,741721553662426;741721554724088,741721555762733;741721555815529,741721557294799
10:741721557297480,741721557646907;741721558710370,741721559748182;741721559799288,741721561279235
11:741721561281337,741721561637899;741721562701359,741721563740109;741721563792953,741721565273161
