0:1166292914629295,1166292914895597;1166293098826955,1166293099607632;1166293099652089,1166293100777401
1:1166293100886303,1166293101154688;1166293101959530,1166293102738748;1166293102783986,1166293103898569
2:1166293104010831,1166293104275362;1166293105077398,1166293105857554;1166293105896779,1166293107006831
3:1166293107104478,1166293107368384;1166293108169088,1166293108949035;1166293108989027,1166293110099339
4:1166293110248466,1166293110512372;1166293111314620,1166293112095401;1166293112135370,1166293113246515
5:1166293113342775,1166293113606837;1166293114409900,1166293115195837;1166293115238273,1166293116348637
6:1166293116501578,1166293116765380;1166293117568175,1166293118348852;1166293118391814,1166293119501918
7:1166293119637580,1166293119901850;1166293120704378,1166293121489794;1166293121535385,1166293122644812
8:1166293122793507,1166293123057829;1166293123859812,1166293124641114;1166293124680462,1166293125791139
9:1166293125881189,1166293126145876;1166293126947803,1166293127729209;1166293127772084,1166293128881823
10:1166293129011326,1166293129275753;1166293130078821,1166293130858873;1166293130897777,1166293132008610
11:1166293132157524,1166293132421430;1166293133224780,1166293134005248;1166293134044499,1166293135154499
12:1166293135289711,1166293135553721;1166293136356711,1166293137136711;1166293137175994,1166293138286150
13:1166293138440297,1166293138704359;1166293139506824,1166293140286771;1166293140332245,1166293141441828
14:1166293141591300,1166293141855310;1166293142657968,1166293143438332;1166293143481622,1166293144591778
15:1166293144741980,1166293145006355;1166293145806793,1166293146585803;1166293146629846,1166293147740731
0:1166293147857399,1166293148121826;1166293148923623,1166293149702998;1166293149741840,1166293150851996
1:1166293150938593,1166293151202968;1166293152004284,1166293152784648;1166293152828900,1166293153939681
2:1166293154022093,1166293154285999;1166293155086382,1166293155867267;1166293155906744,1166293157017316
3:1166293157100859,1166293157364921;1166293158166347,1166293158945930;1166293158985982,1166293160096711
4:1166293160181680,1166293160445586;1166293161247202,1166293162027149;1166293162067168,1166293163176803
5:1166293163265769,1166293163529779;1166293164331560,1166293165112080;1166293165155074,1166293166265386
6:1166293166352518,1166293166616424;1166293167419375,1166293168198854;1166293168241792,1166293169351792
7:1166293169435760,1166293169700239;1166293170503667,1166293171283250;1166293171329295,1166293172439399
8:1166293172526430,1166293172790596;1166293173592712,1166293174372972;1166293174412402,1166293175522714
9:1166293175607667,1166293175871989;1166293176672606,1166293177452814;1166293177495912,1166293178607005
10:1166293178691694,1166293178956069;1166293179760506,1166293180540974;1166293180579714,1166293181690495
11:1166293181771709,1166293182036188;1166293182837396,1166293183616823;1166293183656004,1166293184766785
12:1166293184851542,1166293185116177;1166293185918739,1166293186699780;1166293186740058,1166293187850683
13:1166293187935173,1166293188199235;1166293189000265,1166293189781254;1166293189826797,1166293190936953
14:1166293191023445,1166293191287455;1166293192089048,1166293192867850;1166293192911100,1166293194022141
15:1166293194108363,1166293194372946;1166293195176866,1166293195958793;1166293196002907,1166293197113219
0:1166293197203143,1166293197467413;1166293198269664,1166293199049351;1166293199088181,1166293200198649
1:1166293200301142,1166293200565360;1166293201367002,1166293202147991;1166293202192288,1166293203302704
2:1166293203405107,1166293203669950;1166293204473165,1166293205254571;1166293205294060,1166293206404424
3:1166293206509956,1166293206774018;1166293207576791,1166293208356999;1166293208397396,1166293209506718
4:1166293209611386,1166293209875604;1166293210676882,1166293211457559;1166293211497784,1166293212608304
5:1166293212711943,1166293212975797;1166293213777377,1166293214557949;1166293214600984,1166293215712286
6:1166293215814670,1166293216079097;1166293216881261,1166293217661781;1166293217704330,1166293218818080
7:1166293218924003,1166293219188482;1166293219989427,1166293220768645;1166293220815028,1166293221924819
8:1166293222029201,1166293222293471;1166293223148213,1166293223935400;1166293223976523,1166293225086679
9:1166293225189555,1166293225453513;1166293226254799,1166293227035111;1166293227077610,1166293228188860
10:1166293228291556,1166293228555722;1166293229357768,1166293230137663;1166293230176761,1166293231287125
11:1166293231391267,1166293231655225;1166293232455609,1166293233235088;1166293233274286,1166293234385379
12:1166293234488428,1166293234752855;1166293235555602,1166293236336747;1166293236376480,1166293237487730
13:1166293237589825,1166293237853939;1166293238658428,1166293239439730;1166293239484853,1166293240599019
14:1166293240702524,1166293240966430;1166293241768084,1166293242549490;1166293242593101,1166293243703205
15:1166293243807000,1166293244072000;1166293244874049,1166293245654934;1166293245699244,1166293246809296
