0:741722306041981,741722306308387;741722495240941,741722496022243;741722496066205,741722497176725
1:741722497179334,741722497442250;741722498242899,741722499023055;741722499067669,741722500177512
2:741722500180055,741722500442867;741722501245944,741722502026621;741722502066108,741722503176576
3:741722503178744,741722503441556;741722504243179,741722505023335;741722505064281,741722506174958
4:741722506176926,741722506439165;741722507249390,741722508030535;741722508068546,741722509178702
5:741722509181207,741722509444019;741722510245848,741722511026264;741722511070699,741722512180282
6:741722512183168,741722512445668;741722513255012,741722514048553;741722514091326,741722515201846
7:741722515203965,741722515466725;741722516266473,741722517045743;741722517091513,741722518201460
8:741722518207285,741722518470149;741722519267850,741722520047433;741722520088095,741722521198667
9:741722521200713,741722521463421;741722522265341,741722523044872;741722523085606,741722524195658
10:741722524198098,741722524460285;741722525262132,741722526042079;741722526081559,741722527195413
11:741722527198441,741722527460888;741722528261161,741722529041577;741722529080279,741722530190591
12:741722530192904,741722530455143;741722531255551,741722532034769;741722532075594,741722533184083
13:741722533188158,741722533450293;741722534249641,741722535030005;741722535076845,741722536186636
14:741722536189547,741722536451942;741722537254142,741722538034767;741722538078054,741722539188314
15:741722539190664,741722539452851;741722540253193,741722541031630;741722541076040,741722542186821
